PA,OAT,Weight,TQ,FF,IAS,TAS,TMP
2000,31.104,7500,1520,373,224,238,20
4000,27.148,7500,1520,361,222,243,20
6000,23.192,7500,1520,351,220,248,20
8000,19.236,7500,1520,342,217,252,20
10000,15.28,7500,1520,335,215,257,20
12000,11.324,7500,1520,329,212,262,20
14000,7.368,7500,1477,318,208,265,20
16000,3.412,7500,1415,304,203,267,20
18000,-0.544,7500,1348,289,197,268,20
20000,-4.5,7500,1269,273,190,267,20
22000,-8.456,7500,1189,258,183,267,20
24000,-12.412,7500,1109,242,176,265,20
26000,-16.368,7500,1030,227,168,264,20
28000,-20.324,7500,956,212,161,261,20
29000,-22.302,7500,919,204,157,260,20
0,45.06,9500,1520,389,223,234,30
2000,41.104,9500,1520,376,221,238,30
4000,37.148,9500,1520,364,218,243,30
6000,33.192,9500,1520,352,216,247,30
8000,29.236,9500,1520,342,213,252,30
10000,25.28,9500,1458,323,208,253,30
12000,21.324,9500,1388,305,201,253,30
14000,17.368,9500,1347,295,196,255,30
16000,13.412,9500,1298,284,191,257,30
18000,9.456,9500,1243,271,185,257,30
20000,5.5,9500,1180,258,179,257,30
22000,1.544,9500,1108,243,172,255,30
24000,-2.412,9500,1033,228,164,252,30
26000,-6.368,9500,960,213,155,248,30
28000,-10.324,9500,890,199,146,243,30
29000,-12.302,9500,856,192,141,239,30
0,45.06,8500,1520,389,224,235,30
2000,41.104,8500,1520,376,222,239,30
4000,37.148,8500,1520,364,219,244,30
6000,33.192,8500,1520,352,217,249,30
8000,29.236,8500,1520,342,215,254,30
10000,25.28,8500,1458,323,209,255,30
12000,21.324,8500,1388,305,203,255,30
14000,17.368,8500,1347,295,198,258,30
16000,13.412,8500,1298,284,193,259,30
18000,9.456,8500,1243,271,187,260,30
20000,5.5,8500,1180,258,181,260,30
22000,1.544,8500,1108,243,174,259,30
24000,-2.412,8500,1033,228,167,257,30
26000,-6.368,8500,960,213,159,254,30
28000,-10.324,8500,890,199,151,251,30
29000,-12.302,8500,856,192,147,248,30
0,45.06,7500,1520,389,225,236,30
2000,41.104,7500,1520,376,223,240,30
4000,37.148,7500,1520,364,220,245,30
6000,33.192,7500,1520,352,218,250,30
8000,29.236,7500,1520,342,216,255,30
10000,25.28,7500,1458,323,210,256,30
12000,21.324,7500,1388,305,204,257,30
14000,17.368,7500,1347,295,200,259,30
16000,13.412,7500,1298,284,195,261,30
18000,9.456,7500,1243,271,189,263,30
20000,5.5,7500,1180,258,183,263,30
22000,1.544,7500,1108,243,177,263,30
24000,-2.412,7500,1033,228,170,261,30
26000,-6.368,7500,960,213,162,259,30
28000,-10.324,7500,890,199,155,257,30
29000,-12.302,7500,856,192,151,255,30
0,48.06,9500,1520,389,222,234,33
2000,44.104,9500,1520,377,220,239,33
4000,40.148,9500,1520,365,218,243,33
6000,36.192,9500,1520,353,215,248,33
8000,32.236,9500,1481,336,211,250,33
10000,28.28,9500,1413,316,205,251,33
12000,24.324,9500,1345,298,198,251,33
14000,20.368,9500,1309,288,194,253,33
16000,16.412,9500,1263,277,189,255,33
18000,12.456,9500,1210,266,183,255,33
20000,8.5,9500,1149,253,177,255,33
22000,4.544,9500,1080,238,169,253,33
24000,0.588,9500,1009,224,161,250,33
26000,-3.368,9500,939,210,153,246,33
28000,-7.324,9500,871,196,144,240,33
29000,-9.302,9500,838,189,139,237,33
0,48.06,8500,1520,389,223,235,33
2000,44.104,8500,1520,377,221,240,33
4000,40.148,8500,1520,365,219,245,33
6000,36.192,8500,1520,353,217,249,33
8000,32.236,8500,1481,336,212,252,33
10000,28.28,8500,1413,316,206,253,33
12000,24.324,8500,1345,298,200,253,33
14000,20.368,8500,1309,288,196,256,33
16000,16.412,8500,1263,277,191,257,33
18000,12.456,8500,1210,266,185,258,33
20000,8.5,8500,1149,253,179,259,33
22000,4.544,8500,1080,238,172,257,33
24000,0.588,8500,1009,224,165,255,33
26000,-3.368,8500,939,210,157,253,33
28000,-7.324,8500,871,196,149,249,33
29000,-9.302,8500,838,189,145,246,33
0,48.06,7500,1520,389,224,236,33
2000,44.104,7500,1520,377,222,240,33
4000,40.148,7500,1520,365,220,246,33
6000,36.192,7500,1520,353,218,251,33
8000,32.236,7500,1481,336,213,253,33
10000,28.28,7500,1413,316,207,254,33
12000,24.324,7500,1345,298,202,255,33
14000,20.368,7500,1309,288,197,258,33
16000,16.412,7500,1263,277,192,260,33
18000,12.456,7500,1210,266,187,261,33
20000,8.5,7500,1149,253,181,261,33
22000,4.544,7500,1080,238,175,261,33
